"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 20 11:56:52 GMT 2025","Wed Aug 20 11:56:54 GMT 2025","1632","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Aug 20 11:56:47 GMT 2025","Wed Aug 20 11:56:48 GMT 2025","1514","LMS system","Authentication","Registration","","","Registration with correct email, username, password",""
"passed","Wed Aug 20 11:56:44 GMT 2025","Wed Aug 20 11:56:45 GMT 2025","1704","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Aug 20 11:56:41 GMT 2025","Wed Aug 20 11:56:43 GMT 2025","1896","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Aug 20 11:56:50 GMT 2025","Wed Aug 20 11:56:52 GMT 2025","2269","LMS system","Courses","Courses","","","Create course",""
"passed","Wed Aug 20 11:56:46 GMT 2025","Wed Aug 20 11:56:47 GMT 2025","1322","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Aug 20 11:56:45 GMT 2025","Wed Aug 20 11:56:46 GMT 2025","1540","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Aug 20 11:56:41 GMT 2025","Wed Aug 20 11:56:44 GMT 2025","3078","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Aug 20 11:56:50 GMT 2025","Wed Aug 20 11:56:53 GMT 2025","2644","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed Aug 20 11:56:49 GMT 2025","Wed Aug 20 11:56:50 GMT 2025","1239","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
